2025-07-19 23:58:53.521963 - 🌐 NAT VNF started on port 9102
2025-07-19 23:58:54.248857 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 76.223.31.44
2025-07-19 23:58:54.250929 - [NAT] Rewrote source 76.223.31.44 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:55.889899 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:58:55.890608 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:55.905015 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:55.905809 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:58:56.931771 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.54.80
2025-07-19 23:58:56.939229 - [NAT] Rewrote source 34.36.54.80 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:56.946722 - [NAT] Rewrote source 34.36.54.80 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:56.948734 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.54.80
2025-07-19 23:58:58.014791 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:58.017411 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 172.64.148.235
2025-07-19 23:58:58.023030 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:58:58.277371 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:58:58.308196 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:01.891938 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.208.123
2025-07-19 23:59:01.894032 - [NAT] Rewrote source 34.120.208.123 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:01.900310 - [NAT] Rewrote source 34.120.208.123 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:01.901724 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.208.123
2025-07-19 23:59:06.885355 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.237.76
2025-07-19 23:59:06.887668 - [NAT] Rewrote source 34.120.237.76 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:06.903537 - [NAT] Rewrote source 34.120.237.76 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:06.905576 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.237.76
2025-07-19 23:59:10.638064 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-19 23:59:10.639752 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:18.012586 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:18.013128 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 172.64.148.235
2025-07-19 23:59:18.017315 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:18.030692 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 224.0.0.251
2025-07-19 23:59:36.280268 - [NAT] Rewrote source 76.223.31.44 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:36.284578 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 76.223.31.44
2025-07-19 23:59:36.285684 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 76.223.31.44
2025-07-19 23:59:36.286553 - [NAT] Rewrote source 76.223.31.44 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:36.289061 - [NAT] Rewrote source 76.223.31.44 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.107886 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:37.112863 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:37.157792 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.168122 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.184296 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-19 23:59:37.221809 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.225814 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.230944 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.234133 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.239717 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.242276 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.283027 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.295082 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.305019 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.321754 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.336601 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.344126 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.393107 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.400771 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.409552 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.416731 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-19 23:59:37.423066 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-19 23:59:37.427469 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
